id	name	icon_id	mod_type	object_type	weapon_type	bonus	bonus_level	percent_sign
mod_maxrounds	Max Rounds Mod	textures/items/mod_maxrounds.png	1	3	0	10	0.816326530612245	1
mod_damage	Damage Mod	textures/items/mod_damage.png	2	3	0	10	0.816326530612245	1
mod_accuracy	Accuracy Mod	textures/items/mod_accuracy.png	3	3	0	10	0.816326530612245	1
mod_attackspeed	Attack Speed Mod	textures/items/mod_attackspeed.png	4	3	0	10	0.816326530612245	1
mod_reloadspeed	Reload Speed Mod	textures/items/mod_reloadspeed.png	5	3	0	10	0.816326530612245	1
mod_reloadamount	Reload Amount Mod	textures/items/mod_reloadamount.png	6	3	0	0.66326530612244	0.0783007080383174	0
mod_penetration	Penetration Mod	textures/items/mod_penetration.png	7	3	0	0.66326530612244	0.0783007080383174	0
mod_handling	Handling Mod	textures/items/mod_handling.png	8	3	0	10	0.816326530612245	1
mod_damageblock	Damage Block Mod	textures/items/mod_damageblock.png	9	4	0	10	0.816326530612245	0
mod_damageresist	Damage Resist Mod	textures/items/mod_damageresist.png	10	4	0	5	0.408163265306122	1
mod_maxammo	Max Ammo Mod	textures/items/mod_maxammo.png	11	4	0	10	0.816326530612245	1
mod_movespeed	Move Speed Mod	textures/items/mod_movespeed.png	12	4	0	5	0.408163265306122	1
